transaction_id,date,category,amount,user_email
1,2025-12-23 17:07:43.754610,Clothing,100.72,user0@pmifi.ru
2,2025-12-22 17:07:43.754610,Books,275.53,user1@pmifi.ru
3,2025-12-21 17:07:43.754610,Home,437.74,user2@pmifi.ru
4,2025-12-20 17:07:43.754610,Home,368.79,user3@pmifi.ru
5,2025-12-19 17:07:43.754610,Electronics,405.21,user4@pmifi.ru
6,2025-12-18 17:07:43.754610,Electronics,332.8,user5@pmifi.ru
7,2025-12-17 17:07:43.754610,Electronics,349.22,user6@pmifi.ru
8,2025-12-16 17:07:43.754610,Books,426.11,user7@pmifi.ru
9,2025-12-15 17:07:43.754610,Home,132.34,user8@pmifi.ru
10,2025-12-14 17:07:43.754610,Home,249.82,user9@pmifi.ru
11,2025-12-13 17:07:43.754610,Electronics,118.39,user10@pmifi.ru
12,2025-12-12 17:07:43.754610,Books,493.96,user11@pmifi.ru
13,2025-12-11 17:07:43.754610,Books,472.59,user12@pmifi.ru
14,2025-12-10 17:07:43.754610,Electronics,29.32,user13@pmifi.ru
15,2025-12-09 17:07:43.754610,Electronics,355.73,user14@pmifi.ru
16,2025-12-08 17:07:43.754610,Electronics,463.37,user15@pmifi.ru
17,2025-12-07 17:07:43.754610,Clothing,98.48,user16@pmifi.ru
18,2025-12-06 17:07:43.754610,Home,288.29,user17@pmifi.ru
19,2025-12-05 17:07:43.754610,Clothing,458.59,user18@pmifi.ru
20,2025-12-04 17:07:43.754610,Clothing,26.63,user19@pmifi.ru
21,2025-12-03 17:07:43.754610,Home,351.74,user20@pmifi.ru
22,2025-12-02 17:07:43.754610,Electronics,155.7,user21@pmifi.ru
23,2025-12-01 17:07:43.754610,Clothing,462.95,user22@pmifi.ru
24,2025-11-30 17:07:43.754610,Clothing,485.82,user23@pmifi.ru
25,2025-11-29 17:07:43.754610,Clothing,472.69,user24@pmifi.ru
26,2025-11-28 17:07:43.754610,Books,242.36,user25@pmifi.ru
27,2025-11-27 17:07:43.754610,Electronics,432.4,user26@pmifi.ru
28,2025-11-26 17:07:43.754610,Home,423.83,user27@pmifi.ru
29,2025-11-25 17:07:43.754610,Home,166.36,user28@pmifi.ru
